id;cant;Ubicacion
89;15;A-11-25
90;14;A-11-26
91;17;A-11-27
92;13;A-11-28
93;10;A-11-29
94;15;A-11-30
95;16;A-11-31
96;16;A-11-32
97;16;A-11-33
98;16;A-11-34
99;16;A-11-35
100;16;A-11-36
101;16;A-11-37
102;16;A-11-38
103;15;A-11-39
104;16;A-11-40
105;16;A-11-41
106;16;A-11-42
107;16;A-11-43
108;16;A-11-44
109;16;A-11-45
110;16;A-11-46
111;16;A-11-47
112;16;A-11-48
113;16;A-11-49
114;30;A-11-50
115;16;A-11-51
116;16;A-11-52
117;16;A-11-53
118;16;A-11-54
119;12;A-11-55
